icd_value,diagnosisname,count,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
J18.9,"Pneumonia, unspecified organism",45451,ICD-10-CM,Diseases of the respiratory system (J00-J99),Influenza and pneumonia (J09-J18),"Pneumonia, unspecified organism"
R41.82,"Altered mental status, unspecified",44216,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Other symptoms and signs involving cognitive functions and awareness
R42,Dizziness and giddiness,43652,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Dizziness and giddiness
I48.91,Unspecified atrial fibrillation (CMS code),42298,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Atrial fibrillation and flutter
R11.2,"Nausea with vomiting, unspecified",41219,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Nausea and vomiting
R55,Syncope and collapse,40623,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Syncope and collapse
E87.1,Hypo-osmolality and hyponatremia,40157,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
R50.9,"Fever, unspecified",36323,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Fever of other and unknown origin
Z79.899,Other long term (current) drug therapy,36318,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Long term (current) drug therapy
R19.7,"Diarrhea, unspecified",36240,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Other symptoms and signs involving the digestive system and abdomen
Z87.891,Personal history of nicotine dependence,34035,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of other diseases and conditions
Z20.828,Contact with and (suspected) exposure to other viral communicable diseases,33767,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to communicable diseases (Z20-Z29),Contact with and (suspected) exposure to communicable diseases
G89.29,Other chronic pain,33467,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),"Pain, not elsewhere classified"
K21.9,Gastro-esophageal reflux disease without esophagitis,33139,ICD-10-CM,Diseases of the digestive system (K00-K95),"Diseases of esophagus, stomach and duodenum (K20-K31)",Gastro-esophageal reflux disease
R00.0,"Tachycardia, unspecified",32381,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of heart beat
