icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
B27.90,"Infectious mononucleosis, unspecified without complication",217,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other viral diseases (B25-B34),Infectious mononucleosis
S32.2XXA,"Fracture of coccyx, initial encounter for closed fracture (CMS code)",217,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)",Fracture of lumbar spine and pelvis
M1A.9XX0,"Chronic gout, unspecified, without tophus (tophi)",217,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Inflammatory polyarthropathies (M05-M14),Chronic gout
Z87.448,Personal history of other diseases of urinary system,217,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of other diseases and conditions
D47.Z1,Post-transplant lymphoproliferative disorder (PTLD) (CMS code),217,,ICD-10-CM,Neoplasms (C00-D49),"Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes (D37-D48)","Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
J34.0,"Abscess, furuncle and carbuncle of nose",217,infection_skin,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of upper respiratory tract (J30-J39),Other and unspecified disorders of nose and nasal sinuses
S42.302A,"Unspecified fracture of shaft of humerus, left arm, initial encounter for closed fracture",216,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Fracture of shoulder and upper arm
E10.21,Type 1 diabetes mellitus with diabetic nephropathy (CMS code),216,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 1 diabetes mellitus
K29.40,Atrophic gastritis without mention of hemorrhage,216,,ICD-10-CM,Diseases of the digestive system (K00-K95),"Diseases of esophagus, stomach and duodenum (K20-K31)",Gastritis and duodenitis
S32.020A,"Wedge compression fracture of second lumbar vertebra, initial encounter for closed fracture (CMS code)",216,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)",Fracture of lumbar spine and pelvis
M71.21,"Synovial cyst of popliteal space (Baker), right knee",216,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),Other bursopathies
M43.9,Other acquired deformity of back or spine,216,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Deforming dorsopathies (M40-M43),Other deforming dorsopathies
S82.839A,Closed fracture of upper end of fibula,216,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),"Fracture of lower leg, including ankle"
G37.3,Acute transverse myelitis in demyelinating disease of central nervous system (CMS code),216,,ICD-10-CM,Diseases of the nervous system (G00-G99),Demyelinating diseases of the central nervous system (G35-G37),Other demyelinating diseases of central nervous system
R81,Glycosuria,215,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of urine, without diagnosis (R80-R82)",Glycosuria
S61.419A,Laceration of hand,215,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)","Open wound of wrist, hand and fingers"
Z90.721,"Acquired absence of ovaries, unilateral",215,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Acquired absence of organs, not elsewhere classified"
I89.1,Lymphangitis,215,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other noninfective disorders of lymphatic vessels and lymph nodes
K94.22,Gastrostomy infection (CMS code),215,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of the digestive system (K90-K95),Complications of artificial openings of the digestive system
J95.830,Postprocedural hemorrhage of a respiratory system organ or structure following a respiratory system procedure,215,,ICD-10-CM,Diseases of the respiratory system (J00-J99),"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified (J95)","Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
Y92.018,Other place in single-family (private) house as the place of occurrence of the external cause,215,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Place of occurrence of the external cause
E07.81,Sick-euthyroid syndrome,215,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of thyroid gland (E00-E07),Other disorders of thyroid
R94.02,Abnormal brain scan,215,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal results of function studies
I31.8,Other specified diseases of pericardium,215,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Other diseases of pericardium
Z85.830,Personal history of malignant neoplasm of bone,215,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of malignant neoplasm
J35.8,Other chronic diseases of tonsils and adenoids,215,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of upper respiratory tract (J30-J39),Chronic diseases of tonsils and adenoids
V18.0XXA,"Pedal cycle driver injured in noncollision transport accident in nontraffic accident, initial encounter",215,,ICD-10-CM,External causes of morbidity (V00-Y99),Pedal cycle rider injured in transport accident (V10-V19),Pedal cycle rider injured in noncollision transport accident
R23.1,Pallor,215,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Other skin changes
Q90.9,"Down syndrome, unspecified",215,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Down syndrome
I25.3,Aneurysm of heart,214,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
H10.89,Other conjunctivitis,214,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of conjunctiva (H10-H11),Conjunctivitis
T84.59XA,"Infection and inflammatory reaction due to other internal joint prosthesis, initial encounter",214,infection_other,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of internal orthopedic prosthetic devices, implants and grafts"
J85.2,Abscess of lung without pneumonia (CMS code),214,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Suppurative and necrotic conditions of the lower respiratory tract (J85-J86),Abscess of lung and mediastinum
M70.22,"Olecranon bursitis, left elbow",213,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Soft tissue disorders related to use, overuse and pressure"
H60.91,"Unspecified otitis externa, right ear",213,,ICD-10-CM,Diseases of the ear and mastoid process (H60-H95),Diseases of external ear (H60-H62),Otitis externa
G62.1,Alcoholic polyneuropathy,213,,ICD-10-CM,Diseases of the nervous system (G00-G99),Polyneuropathies and other disorders of the peripheral nervous system (G60-G65),Other and unspecified polyneuropathies
L02.811,"Cutaneous abscess of head (any part, except face)",213,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),"Cutaneous abscess, furuncle and carbuncle"
D25.1,Intramural leiomyoma of uterus,213,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)",Leiomyoma of uterus
H54.40,"Profound impairment, one eye, impairment level not further specified",212,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Visual disturbances and blindness (H53-H54),Blindness and low vision
Z79.811,Long term (current) use of aromatase inhibitors,212,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Long term (current) drug therapy
L89.156,Pressure-induced deep tissue damage of sacral region,212,,ICD-10-CM,,,
T36.1X5A,"Adverse effect of cephalosporins and other beta-lactam antibiotics, initial encounter",212,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of systemic antibiotics"
Z89.422,Acquired absence of other left toe(s),212,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Acquired absence of limb
S73.004A,"Hip dislocation, right, initial encounter (CMS code)",212,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the hip and thigh (S70-S79),Dislocation and sprain of joint and ligaments of hip
J85.1,Abscess of lung with pneumonia (CMS code),212,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Suppurative and necrotic conditions of the lower respiratory tract (J85-J86),Abscess of lung and mediastinum
S91.311A,"Laceration without foreign body, right foot, initial encounter",211,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Open wound of ankle, foot and toes"
K55.20,Angiodysplasia of colon without hemorrhage,211,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Vascular disorders of intestine
