departmentname,count,departmentspecialty,is_icu
RAD ONC GAMMA,21,Radiation Therapy,False
SURG ORTHO HAND MB-BIL,20,*Unspecified,False
SURG OPHTH GENERAL AMB-BIL,20,*Unspecified,False
ZZZPED ECHO ML,19,Pediatric Cardiology,False
PBC NEUROLOGY SVC,19,Pediatric Neurology,False
PK PROCEDURALIST HOSP SVC,19,Hospital Medicine,False
SURG OPHTH ONCOLOGY AMB-BIL,19,*Unspecified,False
SURG DOS GS BCC MZ-BIL,19,*Unspecified,False
PK INTERVENTIONAL ENDOSCOPY SVC,18,*Unspecified,False
ID PARN,18,Infectious Diseases,False
NON MALIGNANT HEM PARN,18,Hematology,False
PK PSYCHIATRY SVC -OSHPD BIL,18,*Unspecified,False
PK HOSP NIGHT HOSPITALIST SVC,18,Hospital Medicine,False
CARD DBC,18,Cardiology,False
SOD OMFS PARN S738,17,Oral Surgery,False
PED OPHTHALMOLOGY SVC,17,Pediatric Ophthalmology,False
NEPHROLOGY PARN,17,Nephrology,False
SURG ORTHO FOOT ANKLE MB-BIL,17,*Unspecified,False
SURG ORTHO PED PARN-BIL,17,*Unspecified,False
GERIATRIC CONSULT-BIL,17,Geriatric Medicine,False
PK ALLERGY SVC,16,Allergy and Immunology,False
VASCULAR ULTRA,16,Vascular Lab,False
OHNS FACIAL PLAS SURG MZ,16,OHNS Plastics,False
ZZZUROLOGY PLEASANTON,16,Urology,False
SURG ORTHO ARTHRO MB-BIL,15,*Unspecified,False
GEN MED MZ 1545 1,15,General Internal Medicine,False
SURG URO REPRODUCTIVE HEALTH PARN-BIL,15,*Unspecified,False
ZZZOPHTH PLASTIC PARN,14,Ophthalmology,False
GEN MED MZ 1545 2,14,General Internal Medicine,False
ZZZSURG URO ONC MB-BIL,14,*Unspecified,False
ZZZSURG ORTHO SPORTS MZ-BIL,14,*Unspecified,False
PK INTERVENTIONAL RAD SVC,14,Interventional Radiology,False
PK HEMATOLOGY SVC,13,Hematology,False
RAD ONC CYBER,13,Radiation Therapy,False
CARD BAYFRONT,13,Cardiology,False
OHNS GEN OTOL MZ,13,"Otolaryngology, Head and Neck Surgery",False
ORAL/MAXILLOFACIAL SUR SVC,13,Oral Surgery,False
GENERAL SURG SVC OLD,13,General Surgery,False
ZZZGERIATRICS SVC,13,Geriatric Medicine,False
GENETICS SVC,12,Genetics,False
SURG URO ADULT PARN MB1-BIL,12,*Unspecified,False
SURG ORTHO PED MB-BIL,12,*Unspecified,False
PK PSYCHIATRY ADULT SVC - BIL,12,Psychiatry,False
PED ANESTHESIA IP3 SVC,12,Pediatrics Specialties,False
PK PATH CYTOLOGY MZ - BIL,11,Pathology,False
ZZZPED REHABILITATION SVC,11,Pediatric Physical Medicine and Rehabilitation,False
PK LAB SOM MICROBIOLOGY – BIL,11,*Unspecified,False
PULMONARY MZ,11,Pulmonology,False
PSYCH OP ECT,11,Psychiatry,False
ZZZOPHTH RETINA,11,Ophthalmology,False
NEONATOLOGY SVC,11,Neonatology,False
IMMUNOTHERAPY PCMB 5,11,Hematology and Oncology,False
NEUROSURG ADLT PARN,11,Neurosurgery,False
ORTHO HAND MB,11,Orthopedic Surgery,False
GYN ONC MB 6,11,Gynecologic Oncology - Cancer Center,False
360 POSITIVE HEALTH,11,HIV Program,False
ZZZGI OSTROFF PARN,11,Gastroenterology,False
PK SURG DOS GEN SURG PARN-BIL,10,*Unspecified,False
ADULT GENETICS MB,10,Pediatric Genetics,False
PED HEM SVC,10,Pediatric Hematology and Oncology,False
RAD MRI MZ MB1,10,Radiology MR,False
PSYCHIATRY PEDS SVC -BIL,10,Psychiatry,False
ZZZSURG URO ONC MZ-BIL,10,*Unspecified,False
RHEUM PARN,9,Rheumatology,False
